Date,Title,Author,Type,Published in,Link,Open Access,Image
under contract,"Which Ælfric Is It? Franz Dietrich (1810–1883) and the Identification of Ælfric and His Religious Doctrines in the Nineteenth Century","Lucas Gahrmann & Thijs Porck",Book Chapter,"In: <i>Ælfric's Afterlives: Medieval Legacies and Modern Receptions</i>, ed. Thijs Porck & Amos van Baalen. Studies in Old English Literature (Turnhout: Brepols, exp. 2027)",,,https://www.brepols.net/files/series/31519/cover_1_m.jpg?637855328079441720
under contract,"William Somner’s Edition of Ælfric’s <i>Grammar</i> and Its Afterlives","Rachel A. Fletcher",Book Chapter,"In: <i>Ælfric's Afterlives: Medieval Legacies and Modern Receptions</i>, ed. Thijs Porck & Amos van Baalen. Studies in Old English Literature (Turnhout: Brepols, exp. 2027)",,,https://www.brepols.net/files/series/31519/cover_1_m.jpg?637855328079441720
under contract,"Ælfric through the Ages: An Introduction to Ælfric's Afterlives","Thijs Porck & Amos van Baalen",Book Chapter,"In: <i>Ælfric's Afterlives: Medieval Legacies and Modern Receptions</i>, ed. Thijs Porck & Amos van Baalen. Studies in Old English Literature (Turnhout: Brepols, exp. 2027)",,,https://www.brepols.net/files/series/31519/cover_1_m.jpg?637855328079441720
under contract,"<i>Ælfric's Afterlives: Medieval Legacies and Modern Receptions</i>","Thijs Porck & Amos van Baalen (eds.)",Edited Volume,"Studies in Old English Literature (Turnhout: Brepols, exp. 2027)",,,https://www.brepols.net/files/series/31519/cover_1_m.jpg?637855328079441720
2026,"Dietrich Citation Dataset","Lucas Gahrmann & Thijs Porck",Dataset,"<i>Zenodo</i>",https://doi.org/10.5281/zenodo.22178522,Yes,https://about.zenodo.org/static/img/zenodo.svg
2026,"An Enduring Enigma: Shedding Light on the Leiden Riddle, 1845–2025","Thijs Porck",Peer-reviewed Journal Article,"<i>SELIM. Journal of the Spanish Society for Medieval English Language and Literature</i> 31: 81–113",https://doi.org/10.17811/selim.31.2026.81-113,Yes,https://reunido.uniovi.es/public/journals/25/cover_issue_1564_en_US.jpg
2026,"[Review of] <i>Printing Anglo-Saxon from Parker to Hickes and Wanley. With a Catalogue of Early Printed Books Containing Anglo-Saxon 1566–1705</i>, by Peter J. Lucas", Rachel A. Fletcher,Book Review,"<i>Quaerendo</i> 56: 73–75",https://doi.org/10.1163/15700690-tat00003,No,https://brill.com/coverimage?doc=%2Fjournals%2Fqua%2F5%2F1%2Fqua.5.issue-1.xml&width=400&type=webp
2026,"kalliope2csv","Sander Stolk",Software,"<i>Github</i>",https://github.com/ssstolk/kalliope2csv,No,https://uxwing.com/wp-content/themes/uxwing/download/brands-and-social-media/github-white-icon.png
2025,"<i>Beowulf: A Paper Doll Pirate History</I> (1934–35) and the Reception of <i>Beowulf</i> in Early Dutch Children’s Literature","Suzanne Klare & Thijs Porck",Peer-reviewed Journal Article,"<i>Medieval Perspectives</i> 39: 63–134",https://doi.org/10.17613/9pf1y-ywj67,Yes,https://emergence.leiden.edu/assets/images/publications/cover.medieval-perspectives.jpg
2025,"[Review of] <i>Old English Studies and Its Scandinavian Practitioners: Nationalism, Aesthetics, and Spirituality in the Nordic Countries</i>, by Robert E. Bjork","Lucas Gahrmann",Book Review,"<i>SELIM. Journal of the Spanish Society for Medieval English Language and Literature</i> 30: 203–204",https://doi.org/10.17811/selim.30.2025.203-4,Yes,https://reunido.uniovi.es/public/journals/25/cover_issue_1411_en_US.jpg
2025,"[Review of] <i>Old English Studies and Its Scandinavian Practitioners: Nationalism, Aesthetics, and Spirituality in the Nordic Countries</i>, by Robert E. Bjork","Suzanne Klare",Book Review,"<i>Amsterdamer Beiträge zur älteren Germanistik</i> 85: 133–136",https://doi.org/10.1163/18756719-12340352,No,https://i0.wp.com/thijsporck.com/wp-content/uploads/2022/03/eemee.publicatiepagina.coverpagina.jpg
2024,"De <i>Beowulf</i> binnen de Romantiek van de Lage Landen. Mediëvisme en moderne adaptaties van historische literatuur","Thijs Porck",Book Chapter,"In: <i>Trouw aan de tekst: Historische letterkunde in de praktijk</i>, ed. Bram Caers, Anna Dlabačová, Paul Hoftijzer, Olga van Marion & Geert Warnar (Hilversum: Verloren, 2024), pp. 272–281",https://doi.org/10.17613/sdwxy-3w153,Yes,https://i0.wp.com/thijsporck.com/wp-content/uploads/2026/05/trouw-aan-de-tekst-cover.jpg
